country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate
MAC,2019,133453.89,672000.0,2.752000093460083,32.8591001563862,68.582,-3.19806913215582
MAC,2020,59662.484,685400.0,0.811,34.5607535716319,66.927,-3.19806913215582
MAC,2021,73374.445,682500.0,0.02680224814006204,35.9475093221149,67.393,-3.19806913215582
MAC,2022,59921.44,677300.0,1.04502802369954,37.0195565931432,65.018,-3.19806913215582
MAC,2023,104815.2,678800.0,0.939,38.072078888916,66.471,-3.19806913215582
MAC,2024,111693.5,687000.0,0.738,39.234272303324,66.733,-3.19806913215582
MAR,1990,4418.66,24375551.0,6.026000022888184,76.195771151489,44.158,
MAR,1991,4656.126,24799014.0,8.991000175476074,74.7894601998106,44.297,
MAR,1992,4483.2495,25212468.0,5.739999771118164,73.4008262589948,44.204,
MAR,1993,4379.764,25614586.0,5.183000087738037,71.9382564205696,44.118,
MAR,1994,4771.093,26000822.0,5.142000198364258,70.3621549030513,44.155,
MAR,1995,4444.2285,26399429.0,6.124000072479248,68.8413993723825,44.136,
MAR,1996,4916.48,26808107.0,2.986999988555908,67.4266056352243,44.424,
MAR,1997,4766.1104,27213337.0,1.0410000085830688,66.0457666328352,44.132,
MAR,1998,5033.9233,27621648.0,2.744999885559082,64.7216537020207,44.442,
MAR,1999,5043.665,28027179.0,0.6899999976158142,63.4476580981654,44.161,
MAR,2000,5100.1157,28423435.0,1.9229999780654907,62.2276807795302,44.353,
MAR,2001,5417.5786,28814643.0,0.6129999756813049,61.0419023199319,44.882,
MAR,2002,5544.072,29198142.0,2.7790000438690186,59.8593006334937,44.815,
MAR,2003,5810.053,29571415.0,1.1629999876022339,58.6812379549291,44.633,
MAR,2004,5996.39,29953018.0,1.4930000305175781,57.4496732210295,45.171,
MAR,2005,6103.4224,30358144.0,0.9829999804496765,56.1916489979919,45.065,
MAR,2006,6488.674,30771178.0,3.2850000858306885,55.0741290970672,45.728,
MAR,2007,6620.5903,31186468.0,2.0360000133514404,54.1573061144755,45.769,
MAR,2008,6901.9507,31606767.0,3.8910000324249268,53.400034148467,45.749,
MAR,2009,7063.727,32030778.0,0.972000002861023,52.795415581033,45.611,
MAR,2010,7210.6367,32467016.0,1.0014015436172485,52.3621899992693,45.1,
MAR,2011,7503.793,32912588.0,0.8992376923561096,52.0610436194687,44.78,
MAR,2012,7628.644,33355241.0,1.2949397563934326,51.7973785639985,44.058,
MAR,2013,7839.032,33787571.0,1.8950204849243164,51.5336269622414,43.851,
MAR,2014,7951.7983,34204780.0,0.4206696152687073,51.3322745978475,43.398,
MAR,2015,8198.809,34607588.0,1.5653653144836426,51.215660270365,42.979,
MAR,2016,8141.9404,35023457.0,1.6497843265533447,51.1432000019679,42.221,
MAR,2017,8450.009,35446392.0,0.754,51.1556180708406,41.305,
MAR,2018,8611.75,35839760.0,1.79,51.2665088515347,41.581,
MAR,2019,8768.176,36210898.0,0.23999999463558197,51.4045655561766,41.918,
MAR,2020,8054.563,36584208.0,0.7059686613377142,51.445532015848,39.556,
MAR,2021,8623.266,36954442.0,1.3988288874430468,51.3907036633908,40.52,
MAR,2022,8690.448,37329064.0,6.65704202759063,51.3182365864151,40.13,
MAR,2023,8915.352,37712505.0,6.137,51.1965827591372,40.29,
MAR,2024,9162.747,38081173.0,0.985256592004507,50.9925352190748,40.111,
MDA,1990,15902.895,2977912.0,9.640999794006348,56.5562906944039,58.0355,6.334367041743705
MDA,1991,13342.06,2981566.0,9.640999794006348,56.7073629018313,57.733,6.334367041743705
MDA,1992,9461.428,2980965.0,1243.0,56.8998313609654,56.96,6.334367041743705
MDA,1993,9363.593,2975966.0,788.5029907226562,57.0976096185377,57.087,6.334367041743705
MDA,1994,6490.353,2966745.0,329.635986328125,57.0826176553436,55.959,6.334367041743705
MDA,1995,6428.84,2953200.0,30.215999603271484,56.7754217335656,56.23,1.46858587182734
