country_code,latest_gdp,avg_shock_growth,speed_2008,quality_2008,speed_2020,quality_2020,avg_employment,avg_dependency,avg_inflation,cluster,cluster_name
EGY,16798.152,2.8831648245856933,1.0,111.03734796943748,1.0,111.079169907593,41.659371428571426,66.41972554424493,11.049811156441306,0.0,Resilient Emerging
ESP,48460.293,-2.5860358983681717,9.0,93.31266430963272,3.0,100.90876023836192,46.3552,47.93821433453273,2.9002936039533416,2.0,Struggling Developed
EST,41189.668,-3.567836819749926,7.0,90.1812852135614,1.0,97.79638579443927,56.592971428571424,51.743832583735546,45.599269479667875,2.0,Struggling Developed
ETH,2892.2222,4.865755716220726,1.0,134.5663720819483,1.0,113.12520803676664,76.56074285714287,91.6372403668717,13.14112648626005,0.0,Resilient Emerging
FIN,56123.15,-2.0913899872500084,,96.05693045765142,2.0,98.82013242920328,54.49472857142857,53.439690793272916,1.928694395357341,,
FJI,13592.464,-5.777728911253616,2.0,103.6020942300117,3.0,101.06058892042488,56.01488571428571,58.17967418314516,3.3483413858925215,3.0,Resilient Low-Income
FRA,54799.348,-1.1848883076069292,6.0,99.85625162674148,2.0,101.58688668009827,50.24557142857143,56.000177059000364,1.7855044013088006,2.0,Struggling Developed
FRO,72059.58,-1.4963784920252412,,,1.0,105.39125602874218,,60.321517488186224,,,
FSM,3824.1523,0.12168548614515384,1.0,106.438634815173,1.0,96.81381279895837,,71.7703625502698,2.6048470678989792,,
GAB,18923.662,-3.630084790148239,5.0,96.96844507486554,,95.94701377622528,39.89888571428571,77.66000746694827,2.5985830268784644,,
GBR,52621.18,-2.046330597463985,7.0,95.34102643509516,2.0,100.14662286413332,57.8712,54.3864221217922,2.811524140454042,2.0,Struggling Developed
GEO,24883.908,1.1630915521286505,2.0,116.2900006188919,1.0,124.2133340078122,60.780028571428566,52.701877455532475,571.2198323831982,0.0,Resilient Emerging
GHA,7055.625,2.5612626724266425,1.0,127.58619995275706,1.0,104.61400771138572,65.82567142857144,77.95524833491753,19.44758888459607,0.0,Resilient Emerging
GIN,4016.3418,0.7931861848089139,2.0,103.33991236970935,1.0,109.76430840140436,56.70068571428571,90.76721540444315,11.909286812074617,0.0,Resilient Emerging
GMB,3057.684,1.9635305273632053,1.0,98.156817198417,1.0,107.73504625691244,43.870828571428575,91.4680261119418,6.741982743403972,0.0,Resilient Emerging
GNB,2744.2798,1.2710450082624003,1.0,110.28842062146184,1.0,110.3054424280479,61.68268571428571,87.89067704895103,12.699166697583994,0.0,Resilient Emerging
GNQ,15454.429,0.09673621313720726,1.0,96.6277410668689,,85.04680973049113,55.80088571428571,77.1265257734747,4.701726329865516,,
GRC,37474.28,-0.8988481893987403,,81.12331843103377,1.0,109.54476871301613,44.22188571428572,52.17422068371059,4.750128905321281,,
GRD,17751.51,-3.985951166901941,7.0,93.19412348756096,3.0,100.33010669301883,,57.493684984335985,2.111114281817845,,
GRL,71037.54,2.1470331437283083,1.0,107.76502539319462,1.0,103.65156052872004,,43.67413207314492,,,
GTM,12640.888,0.7574099156852753,2.0,102.65310699915663,1.0,108.01099597545064,61.62314285714285,79.41329745900325,8.194181679754596,0.0,Resilient Emerging
GUY,70516.72,17.102815348816335,1.0,117.15593623317314,1.0,367.9361834748973,49.634257142857145,61.73271944355523,9.941200447342203,1.0,Outlier
HKG,66153.98,0.01763501268829404,2.0,109.03079697352392,1.0,98.54137279415538,57.94522857142857,39.41555721210255,3.0693740628429182,0.0,Resilient Emerging
HND,6585.8555,-0.6176437458359052,3.0,100.4857685640389,2.0,103.2544760799736,59.57848571428571,74.78468754797892,10.133039682011352,0.0,Resilient Emerging
