country_code,shock,pre_shock_gdp,recovery_speed_years,recovery_quality_pct
UGA,covid_2020,2689.4102,2.0,103.7794717964556
UKR,covid_2020,17636.555,1.0,90.24981352650786
URY,covid_2020,30010.574,2.0,103.49436835163499
USA,covid_2020,69112.6,1.0,107.30130251213237
UZB,covid_2020,8755.126,1.0,114.30659021926127
VCT,covid_2020,16365.325,2.0,109.12245250247092
VIR,covid_2020,45632.637,1.0,
VNM,covid_2020,11628.614,1.0,116.48795806619773
VUT,covid_2020,3512.072,,91.53292984881858
WB_EAP,covid_2020,20360.18,1.0,113.45152154843426
WB_ECA,covid_2020,41747.723,1.0,105.60937179735528
WB_LAC,covid_2020,18882.951,2.0,104.09723035345482
WB_MENAP,covid_2020,13860.935,2.0,103.14092086861383
WB_NA,covid_2020,67938.39,1.0,106.55849365873993
WB_SA,covid_2020,7857.6147,1.0,116.69157053475784
WB_SSA,covid_2020,4956.282,,97.05291183996391
WSM,covid_2020,7033.521,3.0,104.97936382076631
ZAF,covid_2020,14352.67,,95.4204060986562
ZMB,covid_2020,3591.5642,3.0,102.28089755433022
ZWE,covid_2020,4993.8438,2.0,104.48910116091336
