country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate,is_shock,shock_label,gdp_growth_rate,recovery_speed_covid_2020,recovery_speed_recession_2008,recovery_quality_covid_2020,recovery_quality_recession_2008,gdp_lag_1,gdp_lag_2,growth_lag_1,gdp_rolling_mean_3yr,pre_shock_baseline_2008,pre_shock_baseline_2020,gdp_dev_from_2008_baseline,gdp_dev_from_2020_baseline,world_gdp_growth,pct_countries_contracting,cluster_name
JOR,2019,9288.527,10671891.0,0.6769999861717224,58.8802726956431,32.649,5.36000685759248,0,none,-0.2470485251029108,3.0,1.0,100.9993780499319,108.0311752256234,9311.531,9339.811,-0.3027898530280626,9313.289666666666,9992.949666666667,9313.289666666666,-7.049196585232481,,1.7415,22.64,Resilient Low-Income
JOR,2020,9022.64,10865228.0,0.3332943506286913,58.0792660970113,32.272,5.36000685759248,1,covid_2020,-2.862531378764366,3.0,1.0,100.9993780499319,108.0311752256234,9288.527,9311.531,-0.2470485251029108,9207.566,9992.949666666667,9313.289666666666,-9.709942499793785,-3.1208056129396984,-4.6196,89.62,Resilient Low-Income
JOR,2021,9182.496,11066356.0,1.3468957103762198,57.2273523032512,30.999,5.36000685759248,1,covid_2020,1.7717209153861768,3.0,1.0,100.9993780499319,108.0311752256234,9022.64,9288.527,-2.862531378764366,9164.554333333332,9992.949666666667,9313.289666666666,-8.11025466654842,-1.4043766633265156,4.414,16.04,Resilient Low-Income
JOR,2022,9266.575,11256263.0,4.22915568897118,56.2381654714504,31.538,5.36000685759248,0,none,0.9156442866950608,3.0,1.0,100.9993780499319,108.0311752256234,9182.496,9022.64,1.7717209153861768,9157.237,9992.949666666667,9313.289666666666,-7.2688714633440386,-0.5015914713128926,2.8762,15.57,Resilient Low-Income
JOR,2023,9381.3545,11439213.0,2.084,55.1554977992581,33.455,5.36000685759248,0,none,1.2386399505750267,3.0,1.0,100.9993780499319,108.0311752256234,9266.575,9182.496,0.9156442866950608,9276.8085,9992.949666666667,9313.289666666666,-6.120266658669929,0.7308355669097856,1.9352,23.81,Resilient Low-Income
JOR,2024,9520.251,11552876.0,0.161,54.3009741648251,33.328,5.36000685759248,0,none,1.4805591239516636,3.0,1.0,100.9993780499319,108.0311752256234,9381.3545,9266.575,1.2386399505750267,9389.3935,9992.949666666667,9313.289666666666,-4.730321701143367,2.222215143528424,2.1027,17.91,Resilient Low-Income
JPN,1990,35272.418,123478000.0,3.078514337539673,43.2259096480185,59.1795,3.0060179968368548,0,none,,2.0,5.0,102.5211872506059,97.1200347748774,,,,35272.418,41623.71666666667,44694.89233333333,,,,0.0,Struggling Developed
JPN,1991,36372.035,123964000.0,3.251438856124878,42.9361215262821,62.48,3.0060179968368548,0,none,3.117498210641534,2.0,5.0,102.5211872506059,97.1200347748774,35272.418,,,35822.226500000004,41623.71666666667,44694.89233333333,,,-0.2856,52.26,Struggling Developed
JPN,1992,36563.62,124425000.0,1.7602825164794922,42.8883052137838,62.608,3.0060179968368548,0,none,0.5267370934840532,2.0,5.0,102.5211872506059,97.1200347748774,36372.035,35272.418,3.117498210641534,36069.35766666667,41623.71666666667,44694.89233333333,,,0.1247,47.74,Struggling Developed
JPN,1993,36277.92,124829000.0,1.2430448532104492,42.9463158255274,62.189,4.31235795479334,0,none,-0.7813777738637562,2.0,5.0,102.5211872506059,97.1200347748774,36563.62,36372.035,0.5267370934840532,36404.525,41623.71666666667,44694.89233333333,,,0.5543,46.23,Struggling Developed
