Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Real interest rate (%),FR.INR.RINR,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-24.9130577387047,39.1051682810329,30.9943494018688,34.1346115887574,38.7736674369924,33.3984630599644,21.7821520799662,18.3470692801939,15.5169875894728,11.6248159998918,14.3161459394902,11.3814924574335,12.6947444611314,10.4349146525183,15.8708814402683,10.6076357898924,12.9197578932997,11.2811932906832,12.2168430436348,13.7812486601176
Real interest rate (%),FR.INR.RINR,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.47543427271753,6.91818005864427,6.26423401893797,4.5666408556276,4.79112520734837,6.52813758772899,5.03292510547116,4.05692612365099,6.98825052743605,6.89090544941648,6.31195251913281,4.173555703149,10.7168994077419,10.9174500760991,15.885948876168,6.57378500312943,7.42457507462851,6.60450953637949,5.64637297616821,5.81310509823675,4.97600231726435,5.9825479431511,8.84604657019821,11.6661307585963,4.80197433814387,8.20087500684476,10.7097087655441,6.37347405601159
Real interest rate (%),FR.INR.RINR,Australia,AUS,1.68660163307201,1.96274008808979,0.780577132965352,-1.50070228198046,-6.01319056393475,-5.34013672544714,-3.60043994089532,-1.38480002953504,1.05042312279371,0.45133736247227,-0.0338201703845267,2.10698245805118,1.41981894204243,2.04961248224825,3.3724667696475,7.38849341201413,7.93316300773165,7.52171710027327,6.44477338740003,6.61872264689812,9.66177943370785,10.0864707781497,8.97107853965401,8.47616802286489,7.9813736477786,8.02236263480293,6.83133888876501,5.82323813876082,5.48226492899418,6.05604022023678,5.03411252620181,2.10299461437176,3.42491629064352,3.51968278100984,3.69949132705322,3.30680627260577,2.37921843259392,3.05876012508836,4.15102038072407,0.98031322538665,6.04356005483095,1.44878757207191,5.08629843609618,6.31873407967245,4.46963335705945
Real interest rate (%),FR.INR.RINR,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.017984953084,16.9546089911586,6.36757302509518,16.7690790545171,12.6244058764035,7.94230043681966,5.92029158128701,2.00903640930593,5.86921103386284,-1.20386445598547,-6.41437028522556,48.0000301665621,6.03749019446764,-4.50907141950471,15.0720533422824,17.7236085217691,19.4463807888005
Real interest rate (%),FR.INR.RINR,"Bahamas, The",BHS,..,..,..,..,..,..,6.94438712573368,7.63923723601807,7.09268100384856,0.525916092569516,0.751287393264862,-5.68308500706424,7.04469060143084,4.73974026328542,7.58791859967344,1.72652925214658,4.38524365032919,2.26450422140818,7.40576480245897,7.05883981138421,3.73669961161005,6.28283688115539,4.02073544299569,8.38172804190316,4.59138662110409,5.90021921872135,5.70956037432645,-38.3765361322397,3.59157439480759,1.35688264456125,5.03087234206615,5.62697758445409,1.96182798147075,4.789804496847,4.74826080657444,0.462285094948543,4.63343166601008,2.47895542968892,3.95255121214989,6.60483148728574,5.91578891584344,5.9723845342931,2.84696532957625,4.13155190987451,0.327158441117361
Real interest rate (%),FR.INR.RINR,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.8990788938976,6.79616154339312,5.67650698131262,4.26721428921831,3.41972663043074,11.4748691107096,15.8180446924414,14.2943018969934,3.15013971624476,10.4967021438002,12.0998245722299,11.1609435676703,20.2848647143456,8.84267997634557,-2.3789073277779,14.5455953860328,4.82736149717816,-0.283027999411548,-2.78109216290479,-5.19902968703039,-0.796746124416999,-0.156119504455016,-2.82101965375419,24.0619674381792,-4.2492460256505,-2.46162141459636,3.01266280675138,5.40813959591411,7.41558701492672
Real interest rate (%),FR.INR.RINR,Bangladesh,BGD,..,..,..,..,..,..,33.795058351574,13.8615622627569,-12.2692196669051,-2.09486764748532,-5.98813218230932,1.12798479968249,1.16377387984429,2.43947329768085,3.02081321608222,-6.2119269152058,4.37450569364977,3.35321767891814,6.83736162270716,6.00688829655345,7.80321557561621,11.7189873524356,11.0503571312982,13.7409692658164,9.12576468789752,5.45528455877529,-5.16455193045819,8.8533210419986,7.8256481093584,8.97864304812777,8.99820323770434,9.25695571842855,8.38969935744535,5.88445428042499,5.58235561080844,5.76426911966502,5.46699380857838,5.7891114361705,4.66174256991599,6.14653833234914,4.7361235689611,5.06419768574566,5.34333265873121,5.98869390231371,6.88586627746747
Real interest rate (%),FR.INR.RINR,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,-0.661277885776031,3.21289842090353,5.79891095229392,6.00547835606604,6.80888621433251,4.39250628664057,1.31568766994725,6.50089220163353,2.89551144155277,7.41201551811264,7.58061361989414,11.1819478999126,3.53751372791561,6.72488147832914,8.89347994923878,7.27686558493164,8.83542399793803,0.962936395837851,4.75174550034418,11.6646436288594,7.16631527737489,7.52383861784461,7.30263973499157,2.36722364027148,2.34273460323265,5.95150098880004,1.97590235214631,8.08039055228652,11.2395217716761,-16.3083640887899,8.55020368124343,3.19688081900711,8.55048075210576,10.1044046409713
Real interest rate (%),FR.INR.RINR,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-89.2993914330492,-85.1883272272899,-87.8528574130947,-63.887258292669,5.60715844634081,-23.2156560031963,-28.0828261296058,-63.761025488483,-41.2295491112523,-18.1401862241537,-5.52846897733011,-5.13471714620616,-4.70086264766037,-6.39967134874553,-1.72187168837492,-3.8075656431765,-10.4472953481541,2.2115757548072,-1.90734443709477,-33.4890247376893,-31.813210346091,-1.75623800416066,0.464553801650014
Real interest rate (%),FR.INR.RINR,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
